sex,orig,dest,orig_code,dest_code,flow
f,ABW,AGO,533,24,0
f,ABW,ARE,533,784,0
f,ABW,ATG,533,28,0
f,ABW,AUS,533,36,4
f,ABW,AUT,533,40,0
f,ABW,BEL,533,56,0
f,ABW,BGR,533,100,0
f,ABW,BOL,533,68,1
f,ABW,BRA,533,76,1
f,ABW,BRB,533,52,0
f,ABW,CAN,533,124,13
f,ABW,CHE,533,756,1
f,ABW,CHL,533,152,2
f,ABW,COL,533,170,17
f,ABW,CRI,533,188,3
f,ABW,CUW,533,531,541
f,ABW,DEU,533,276,2
f,ABW,DNK,533,208,0
f,ABW,DOM,533,214,20
f,ABW,ECU,533,218,30
f,ABW,ESP,533,724,19
f,ABW,FIN,533,246,0
f,ABW,FRA,533,250,1
f,ABW,GBR,533,826,71
f,ABW,GRC,533,300,6
f,ABW,IRL,533,372,2
f,ABW,ISR,533,376,0
f,ABW,ITA,533,380,1
f,ABW,JAM,533,388,0
f,ABW,KAZ,533,398,0
f,ABW,KOR,533,410,0
f,ABW,LCA,533,662,2
f,ABW,LUX,533,442,0
f,ABW,MEX,533,484,1
f,ABW,NLD,533,528,564
f,ABW,PAN,533,591,2
f,ABW,PHL,533,608,13
f,ABW,PRT,533,620,13
f,ABW,SWE,533,752,0
f,ABW,TTO,533,780,0
f,ABW,USA,533,840,320
f,ABW,VEN,533,862,83
f,ABW,VIR,533,850,0
f,ABW,ZAF,533,710,3
f,AFG,ARE,4,784,187
f,AFG,ARM,4,51,1
f,AFG,AUS,4,36,2283
f,AFG,AUT,4,40,206
f,AFG,AZE,4,31,7
f,AFG,BEL,4,56,166
f,AFG,BGR,4,100,7
f,AFG,BHR,4,48,25
f,AFG,BLR,4,112,64
f,AFG,BRA,4,76,14
f,AFG,CAN,4,124,1718
f,AFG,CHE,4,756,184
f,AFG,CHL,4,152,1
f,AFG,COL,4,170,18
f,AFG,CRI,4,188,1
f,AFG,CYP,4,196,2
f,AFG,CZE,4,203,24
f,AFG,DEU,4,276,3543
f,AFG,DNK,4,208,632
f,AFG,ECU,4,218,3
f,AFG,EGY,4,818,1
f,AFG,ESP,4,724,43
f,AFG,EST,4,233,4
f,AFG,FIN,4,246,191
f,AFG,FRA,4,250,196
f,AFG,GBR,4,826,2476
f,AFG,GRC,4,300,164
f,AFG,HUN,4,348,51
f,AFG,IND,4,356,0
f,AFG,IRL,4,372,5
f,AFG,IRN,4,364,89584
f,AFG,IRQ,4,368,35
f,AFG,ISL,4,352,0
f,AFG,ISR,4,376,193
